sku_id, annual_units, case_pct, min_each_cases,units_case,case_pallet
31584,361095,1,4,20,45
31585,360372,1,4,16,45
31582,358944,1,4,16,45
31583,358589,1,4,20,45
31586,356743,1,4,20,45
31587,356066,1,4,16,45
31578,352500,1,4,20,45
31579,351948,1,4,18,45
31580,345376,1,4,20,45
31581,344695,1,4,16,45
31576,344655,1,4,34,45
31577,343710,1,4,22,45
3690,233518,1,4,300,45
39359,231923,1,4,0,45
31588,221306,1,4,16,45
31589,220564,1,4,20,45
31881,193189,1,4,42,45
31882,192475,1,4,34,45
31883,181140,1,4,28,45
31590,176371,1,4,16,45
31591,175923,1,4,20,45
31593,167501,1,4,18,45
31592,167086,1,4,16,45
33826,96205,1,4,14,45
33906,94446,1,4,22,45
33905,94279,1,4,26,45
33904,94012,1,4,26,45
33908,93773,1,4,22,45
33907,93543,1,4,22,45
33909,92438,1,4,22,45
30565,87983,1,4,14,45
30566,85749,1,4,18,45
33828,82849,1,4,14,45
30567,81455,1,4,12,45
33827,80444,1,4,18,45
39463,77771,1,4,0,45
14289.1,62893,1,4,80,45
34913,59125,1,4,48,45
34912,58461,1,4,54,45
34914,57373,1,4,56,45
34911,55509,1,4,50,45
26048,55279,1,4,2000,45
26050,55064,1,4,2000,45
34910,54428,1,4,100,45
24221,53909,1,4,16,45
24222,53606,1,4,22,45
24223,53122,1,4,20,45
14283.1,52747,1,4,120,45
24224,52616,1,4,18,45
24219,51544,1,4,22,45
24220,51461,1,4,16,45
24226,51134,1,4,18,45
24225,51076,1,4,22,45
34909,51011,1,4,90,45
24215,50552,1,4,20,45
24216,50374,1,4,20,45
24217,49862,1,4,16,45
24218,49722,1,4,18,45
30989,49699,1,4,3500,45
26049,49014,1,4,2000,45
10403,46730,1,4,250,45
30987,43772,1,4,3500,45
23544,43169,1,4,42,45
27689,41750,1,4,14,45
27690,41073,1,4,18,45
15297,38707,1,4,14,45
15296,38299,1,4,14,45
27691,38085,1,4,14,45
27693,37925,1,4,16,45
15295,37597,1,4,12,45
27694,37377,1,4,20,45
27692,37164,1,4,16,45
34915,37151,1,4,50,45
30986,33362,1,4,3500,45
33823,33329,1,4,1500,45
33824,31500,1,4,1500,45
15294,30968,1,4,19,45
33825,30229,1,4,1500,45
30508,30169,1,4,46,45
17350,29740,1,4,1000,45
26035,29680,1,4,2000,45
30509,29227,1,4,46,45
34916,28820,1,4,50,45
34917,28030,1,4,48,45
30510,27889,1,4,42,45
31882.9,27388,1,4,18,45
31549,26105,1,4,52,45
16235,26030,1,4,18,45
31001,26006,1,4,3500,45
14402,25596,1,4,5760,45
27594,25186,1,4,18,45
31907,24858,1,4,16,45
31881.9,24740,1,4,21,45
31906,24364,1,4,14,45
31908,24327,1,4,14,45
31909,24222,1,4,16,45
38534,24050,1,4,240,45
27595,23989,1,4,14,45
30506,23803,1,4,42,45
31911,23729,1,4,16,45
23702,23661,1,4,125,45
31910,23637,1,4,12,45
30507,23552,1,4,56,45
33870,23427,1,4,20,45
27596,23311,1,4,20,45
33871,22719,1,4,20,45
30505,22457,1,4,44,45
16237,22263,1,4,18,45
34791,21976,1,4,650,45
34792,21976,1,4,650,45
34793,21976,1,4,650,45
30504,21941,1,4,48,45
31883.9,21636,1,4,14,45
34062,21409,1,4,22,45
34063,21352,1,4,22,45
30503,21142,1,4,80,45
30502,21138,1,4,40,45
27613,20787,1,4,14,45
27612,20578,1,4,14,45
33872,20394,1,4,20,45
31900,20000,1,4,14,45
28947,20000,1,4,300,45
31901,19980,1,4,18,45
16236,19970,1,4,18,45
31899,19707,1,4,12,45
16522,19635,1,4,18,45
14653,19633,1,4,52,45
16238,19629,1,4,18,45
31905,19607,1,4,14,45
34397,19599,1,4,25,45
31898,19597,1,4,18,45
30497,19383,1,4,18,45
30488,19381,1,4,16,45
30494,19362,1,4,18,45
30486,19356,1,4,16,45
30487,19337,1,4,16,45
30495,19337,1,4,18,45
30485,19324,1,4,22,45
30496,19318,1,4,18,45
31897,19118,1,4,14,45
31896,19113,1,4,14,45
31894,19061,1,4,18,45
30484,18985,1,4,26,45
31895,18906,1,4,16,45
30493,18902,1,4,20,45
34061,18885,1,4,22,45
34060,18814,1,4,22,45
30489,18803,1,4,16,45
30498,18794,1,4,18,45
31902,18735,1,4,16,45
31903,18657,1,4,14,45
27614,18170,1,4,14,45
31904,18142,1,4,18,45
39637,17994,1,4,0,45
11575.1,17482,1,4,80,45
31295,17461,1,4,16,45
31596,17184,1,4,20,45
31598,17037,1,4,20,45
31597,16997,1,4,20,45
31599,16997,1,4,14,45
27597,16942,1,4,16,45
16526,16906,1,4,18,45
14553,16801,1,4,18,45
34059,16553,1,4,26,45
34058,16536,1,4,26,45
31296,16112,1,4,18,45
31594,15890,1,4,34,45
31595,15832,1,4,22,45
